TaxaName	RecNum	Phylum	Class	Order	Family	Genus	GroupCoarse	GroupFine	Species	ID level	Origin	IntroSource	CommonName	AlternateNames	ITIS_Accepted_Name	ITIS_URL	COL_Accepted_Name	COL_URL	Ref_GL_occurrence	Erie	Huron	Michigan	Ontario	Superior	St. Mary's River	Huron Erie Corridor	Niagara River	Ref_location	Notes	Benthic	Littoral	Limnetic	Lakes_Proper	Tribs/Wetlands	Aerial/ Terrestrial	BOLD_link	Other_Genetic_Info	NatHistory_source	NatHistory_link	nasID
Anabaena planctonica	102	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	blue-green	attached filaments	Anabaena planctonica	Species	Native			Dolichospermum planctonicum	Anabaena planctonica Brunnthaler 	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=1117	Anabaena planctonica	http://www.catalogueoflife.org/col/details/species/id/34151f1d7b35cdabc003ecce1ec18620	Prescott 1962; Reavie et al 2014; 										"Algaebase - Dolichospermum planctonicum (Brunnthaler) Wacklin, L.Hoffmann & Komárek: http://www.algaebase.org/search/species/detail/?species_id=141014; Habitat - planktonic, epiphytic or epibenthic, bloom-forming; Other notes - unbranched filaments composed of spherical cells. Some strains may produce toxins (anatoxins, saxitoxins, microcystins, and lipopolysaccharides)"	x	x	x							NA	NA
Anabaena scheremetievi	103	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	blue-green	attached filaments	Anabaena scheremetievi	Species	Native			Dolichospermum scheremetieviae	Anabaena scheremetievi Elenkin 	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=1118	Anabaena scheremetievi	http://www.catalogueoflife.org/col/details/species/id/465d6223399494bded228459b4d63615	Prescott 1962; Reavie et al 2014; 										"Algaebase - Dolichospermum scheremetieviae (Elenkin) Wacklin, L.Hoffmann & Komárek: http://www.algaebase.org/search/species/detail/?species_id=148442; Habitat - planktonic, epiphytic or epibenthic, bloom-forming; Other notes - unbranched filaments composed of spherical cells. Some strains may produce toxins (anatoxins, saxitoxins, microcystins, and lipopolysaccharides)"	x	x	x							NA	NA
Anabaena spiroides	104	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	blue-green	attached filaments	Anabaena spiroides	Species	Native			Dolichospermum spiroides	Anabaena spiroides 	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=1119	Anabaena spiroides	http://www.catalogueoflife.org/col/details/species/id/17c29592f9a094a6381e7c89180177e0	Makarewicz et al 1994; Makarewicz et al 1995; Reavie et al 2014; U.S. EPA GLNPO 2018; 	1		x	x						"Algaebase - Dolichospermum spiroides (Klebhan) Wacklin, L.Hoffmann & Komárek: http://www.algaebase.org/search/species/detail/?species_id=141018; Habitat - planktonic, epiphytic or epibenthic, bloom-forming; Other notes - unbranched filaments composed of spherical cells. Some strains may produce toxins (anatoxins, saxitoxins, microcystins, and lipopolysaccharides)"	x	x	x	x						NA	NA
Anabaena subcylindrica	105	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	blue-green	attached filaments	Anabaena subcylindrica	Species	Native			Anabaena cylindrica 	Anabaena subcylindrica	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=1122	Anabaena subcylindrica	http://www.catalogueoflife.org/col/details/species/id/8de628b9106c6d7031caefb0961b2b3c	Prescott 1962; Reavie et al 2014; 										"Algaebase - Anabaena cylindrica Lemmermann: http://www.algaebase.org/search/species/detail/?species_id=30069; Habitat - planktonic, epiphytic or epibenthic, bloom-forming; Other notes - unbranched filaments composed of spherical cells. Some strains may produce toxins (anatoxins, saxitoxins, microcystins, and lipopolysaccharides)"	x	x	x							NA	NA
Anabaena torulosa	106	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	blue-green	attached filaments	Anabaena torulosa	Species	Native				Anabaena torulosa	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=1103	Anabaena torulosa	http://www.catalogueoflife.org/col/details/species/id/d20cac3dbd0840c83b8654d5fe40c7d1	Prescott 1962; Reavie et al 2014; 										"Algaebase - Anabaena torulosa Lagerheim ex Bornet & Flahault : http://www.algaebase.org/search/species/detail/?species_id=23794; Habitat - planktonic, epiphytic or epibenthic, bloom-forming; Other notes - unbranched filaments composed of spherical cells. Some strains may produce toxins (anatoxins, saxitoxins, microcystins, and lipopolysaccharides)"	x	x	x							NA	NA
Anabaena unispora	107	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	blue-green	attached filaments	Anabaena unispora	Species	Native			Macrospermum unisporum	Anabaena unispora Gardner 	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=1123	Anabaena unispora	http://www.catalogueoflife.org/col/details/species/id/c098fcfea05d5c00b1e29f9fdeeb35de	Prescott 1962; Reavie et al 2014; 										"Algaebase - Macrospermum unisporum (N.L.Gardner) Komárek: http://www.algaebase.org/search/species/detail/?species_id=141672; Habitat - planktonic, epiphytic or epibenthic, bloom-forming; Other notes - unbranched filaments composed of spherical cells. Some strains may produce toxins (anatoxins, saxitoxins, microcystins, and lipopolysaccharides)"	x	x	x							NA	NA
Anabaena variabilis	108	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	blue-green	attached filaments	Anabaena variabilis	Species	Native			Trichormus variabilis	Anabaena variabilis 	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=1105	Anabaena variabilis	http://www.catalogueoflife.org/col/details/species/id/6155d0d94cd49324146b76374ce9016f	Prescott 1962; Reavie et al 2014; 										"Algaebase - Trichormus variabilis (Kützing ex Bornet & Flahault) Komárek & Anagnostidis: http://www.algaebase.org/search/species/detail/?species_id=23796; Habitat - planktonic, epiphytic or epibenthic, bloom-forming; Other notes - unbranched filaments composed of spherical cells. Some strains may produce toxins (anatoxins, saxitoxins, microcystins, and lipopolysaccharides)"	x	x	x				http://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?searchTax=Search+Taxonomy&taxon=Anabaena+variabilis			NA	NA
Anabaena verrucosa	109	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	blue-green	attached filaments	Anabaena verrucosa	Species	Native				Anabaena verrucosa Boye-peterson	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=1142	Anabaena verrucosa	http://www.catalogueoflife.org/col/details/species/id/6020fecdabed6a33b1ba6ca155039636	Prescott 1962; Reavie et al 2014; 										"Algaebase - Anabaena verrucosa J.B.Petersen : http://www.algaebase.org/search/species/detail/?species_id=32488; Habitat - planktonic, epiphytic or epibenthic, bloom-forming; Other notes - unbranched filaments composed of spherical cells. Some strains may produce toxins (anatoxins, saxitoxins, microcystins, and lipopolysaccharides)"	x	x	x							NA	NA
Anabaena viguieri	110	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	blue-green	attached filaments	Anabaena viguieri	Species	Native			Dolichospermum viguieri 	"Anabaena viguieri Dennis and Fremy, 1923"	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=1124	Anabaena viguieri	http://www.catalogueoflife.org/col/details/species/id/aed67d5f03fc8f8610f7e78c83169585	Prescott 1962; Reavie et al 2014; 										"Algaebase - Dolichospermum viguieri (Denis & Frémy) Wacklin, L.Hoffmann & Komárek: http://www.algaebase.org/search/species/detail/?species_id=141019; Habitat - planktonic, epiphytic or epibenthic, bloom-forming; Other notes - unbranched filaments composed of spherical cells. Some strains may produce toxins (anatoxins, saxitoxins, microcystins, and lipopolysaccharides)"	x	x	x				http://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?searchTax=Search+Taxonomy&taxon=Anabaena+viguieri			NA	NA
Anabaena wisconsinense	111	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	blue-green	attached filaments	Anabaena wisconsinense	Species	Native				Anabaena wisconsinense Prescott	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=1143	Anabaena wisconsinense	http://www.catalogueoflife.org/col/details/species/id/dc028065f2cc912e9bbc5ba86696b3e8	Prescott 1962; Reavie et al 2014; 										"Algaebase - Anabaena wisconsinensis Prescott : http://www.algaebase.org/search/species/detail/?species_id=128335; Habitat - planktonic, epiphytic or epibenthic, bloom-forming; Other notes - unbranched filaments composed of spherical cells. Some strains may produce toxins (anatoxins, saxitoxins, microcystins, and lipopolysaccharides)"	x	x	x							NA	NA
Anabaenopsis elenkinii	112	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Anabaenopsis	blue-green	irregular non-mucilaginous colony	Anabaenopsis elenkinii	Species	Native				"Anabaenopsis elenkenii Miller, 1923"	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=1185			Prescott 1962; 										Algaebase - Anabaenopsis elenkinii V.V.Miller: http://www.algaebase.org/search/species/detail/?species_id=30106; Habitat - ; Other notes - similar to Anabaena but heterocysts are terminal (never within the filament). This genus may produce lipopolysaccharides capable of causing skin irritation and gastrointestinal distress.										NA	NA
Anacystis montana	113	Cyanobacteria	Cyanophyceae	Chroococcales	Chroococcaceae	Anacystis	blue-green	mucilaginous colony	Anacystis montana	Species	Native			Sorospora montana	Anacystis montana Drouet Daily	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=613	Anacystis montana	http://www.catalogueoflife.org/col/details/species/id/9f1663782b5255fa2da50d725a9a326b	Makarewicz et al 1994; Makarewicz et al 1995; EPA 1998; 	x		x	x	x					Algaebase - Sorospora montana (Lightfoot) Hassall: http://www.algaebase.org/search/species/detail/?species_id=169309; Habitat - ; Other notes - 										NA	NA
Anacystis thermalis	114	Cyanobacteria	Cyanophyceae	Chroococcales	Chroococcaceae	Anacystis	blue-green	mucilaginous colony	Anacystis thermalis	Species	Native				Anacystis thermalis	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=616	Anacystis thermalis	http://www.catalogueoflife.org/col/details/species/id/b533ac020c62256fc9b2c43a82e13db8	Makarewicz et al 1994; Makarewicz et al 1995; 			x	x						Algaebase - Anacystis thermalis (Meneghini) Drouet & Daily: http://www.algaebase.org/search/species/detail/?species_id=24542; Habitat - dominant member of the spring phytoplankton assemblage of Lakes Superior and Erie; Other notes - Many-celled aggregates crowded in a globular mucilage. Sheath with layers. This genus may produce lipopolysaccharidescapable of causing skin irritation and gastrointestinal distress.			x	x						NA	NA
Aneumastus carolinianus	115	Ochrophyta	Bacillariophyceae	Mastogloiales	Mastogloiaceae	Aneumastus	diatom	naviculoid	Aneumastus carolinianus	Species	Native			Originally as Navicula caroliniana R.M.Patrick	Aneumastus carolinianus (Patrick) Lange-Bertalot	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=1020028	Aneumastus carolinianus	http://www.catalogueoflife.org/col/details/species/id/77cb2300a057f94440a26f8470552b11	Stoermer et al 1999; 										Algaebase - Aneumastus carolinianus (R.M.Patrick) Lange-Bertalot: http://www.algaebase.org/search/species/detail/?species_id=63396; Habitat - ; Other notes - Many-celled aggregates crowded in a globular mucilage. Sheath with layers. This genus may produce lipopolysaccharidescapable of causing skin irritation and gastrointestinal distress.										NA	NA
Aneumastus minor (Hust.) Lange-Bert.	116	Ochrophyta	Bacillariophyceae	Mastogloiales	Mastogloiaceae	Aneumastus	diatom	naviculoid	Aneumastus minor (Hust.) Lange-Bert.	Species	Native				Aneumastus minor (Hust.) Lange-Bert.	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=591171			Stoermer et al 1999; 										Algaebase - Aneumastus minor Lange-Bertalot: http://www.algaebase.org/search/species/detail/?species_id=33200; Habitat - ; Other notes - 										NA	NA
"Aneumastus stroesei (Østrup) D.G.Mann in Round, Crawford & Mann"	117	Ochrophyta	Bacillariophyceae	Mastogloiales	Mastogloiaceae	Aneumastus	diatom	naviculoid	"Aneumastus stroesei (Østrup) D.G.Mann in Round, Crawford & Mann"	Species	Native				"Aneumastus stroesei (Østrup) D. G. Mann in Round, Crawford & Mann"	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=591170			Stoermer et al 1999; 										Algaebase - Aneumastus stroesei (Østrup) D.G.Mann : http://www.algaebase.org/search/species/detail/?species_id=33201; Habitat - ; Other notes - 										NA	NA
Aneumastus tuscula	118	Ochrophyta	Bacillariophyceae	Mastogloiales	Mastogloiaceae	Aneumastus	diatom	naviculoid	Aneumastus tuscula	Species	Native			"Originally as Navicula tuscula var. angulata Hust. & Navicula tuscula fo. obtusa; Aneumastus tusculus (Ehrenb.) D.G.Mann & Stickle in Round, Crawford & Mann"	"Aneumastus tusculus (Ehrenb.) D. G. Mann & Stickle in Round, Crawford & Mann "	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=591169			Stoermer et al 1999; 										Algaebase - Aneumastus tuscula (Ehrenberg) D.G.Mann & A.J.Stickle: http://www.algaebase.org/search/species/detail/?species_id=33204; Habitat - ; Other notes - 										NA	NA
Ankistrodesmus arcuatus	119	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Ankistrodesmus	green algae	"lunate, unicell or aggregate"	Ankistrodesmus arcuatus	Species	Native			Originally as Monoraphidium arcuatum	Species not found				Makarewicz et al 1995; U.S. EPA GLNPO 2018; 		1		1						"Algaebase - Ankistrodesmus arcuatus Korshikov: http://www.algaebase.org/search/species/detail/?species_id=51378; Habitat - ; Other notes - Crescent-shaped cells, solitary or clustered. Length to 56um"				x						NA	NA
Ankistrodesmus braunii	120	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Ankistrodesmus	green algae	irregular non-mucilaginous colony	Ankistrodesmus braunii	Species	Native			Chlorolobion braunii	Ankistrodesmus braunii (Naegeli) Lemmermann	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=5887			Makarewicz et al 1994; Brown and Manny 1983; 		x	x							"Algaebase - Chlorolobion braunii (Nägeli) Komárek: http://www.algaebase.org/search/species/detail/?species_id=27677; Habitat - littoral plankton; Other notes - Crescent-shaped cells, solitary or clustered. Length to 56um"		x								NA	NA
Ankistrodesmus convolutus	121	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Ankistrodesmus	green algae	irregular non-mucilaginous colony	Ankistrodesmus convolutus	Species	Native			Monoraphidium convolutum	Ankistrodesmus convolutus Corda	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=5886			Brown and Manny 1983; U.S. EPA GLNPO 2018; 	1	x								"Algaebase - Monoraphidium convolutum (Corda) Komárková-Legnerová: http://www.algaebase.org/search/species/detail/?species_id=27720; Habitat - littoral plankton; Other notes - Crescent-shaped cells, solitary or clustered. Length to 56um"		x		x						NA	NA
Ankistrodesmus falcatus	122	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Ankistrodesmus	green algae	irregular non-mucilaginous colony	Ankistrodesmus falcatus	Species	Native				Ankistrodesmus falcatus (Corda) Ralfs	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=5878			Makarewicz et al 1994; Makarewicz et al 1995; Brown and Manny 1983; Reavie et al 2014; U.S. EPA GLNPO 2018; 	1	1	1	1	1					"Algaebase - Ankistrodesmus falcatus (Corda) Ralfs : http://www.algaebase.org/search/species/detail/?species_id=27653; Habitat - plankton, littoral plankton; Other notes - Crescent-shaped cells, solitary or clustered. Length to 56um"		x		x			http://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?searchTax=Search+Taxonomy&taxon=Ankistrodesmus+falcatus			NA	NA
Ankistrodesmus fractus	123	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Ankistrodesmus	green algae	irregular non-mucilaginous colony	Ankistrodesmus fractus	Species	Native				Ankistrodesmus fractus 	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=5888			Prescott 1962; 										"Algaebase - Ankistrodesmus fractus (West & G.S.West) Collins: http://www.algaebase.org/search/species/detail/?species_id=92825; Habitat - littoral plankton, bogs; Other notes - Rare. Crescent-shaped cells, solitary or clustered. Length to 56um"		x								NA	NA
Ankistrodesmus fusiformis	124	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Ankistrodesmus	green algae	irregular non-mucilaginous colony	Ankistrodesmus fusiformis	Species	Native				"Ankistrodesmus fusiformis Corda, 1838"	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=5893			Makarewicz et al 1994; 			x							"Algaebase - Ankistrodesmus fusiformis Corda : http://www.algaebase.org/search/species/detail/?species_id=27659; Habitat - plankton ; Other notes - Crescent-shaped cells, solitary or clustered. Length to 56um"			x							NA	NA
Ankistrodesmus spiralis	125	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Ankistrodesmus	green algae	irregular non-mucilaginous colony	Ankistrodesmus spiralis	Species	Native				Ankistrodesmus spiralis Turner Lemm 	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=5889			Prescott 1962; U.S. EPA GLNPO 2018; 		1	1		1					"Algaebase - Ankistrodesmus spiralis (W.B.Turner) Lemmermann: http://www.algaebase.org/search/species/detail/?species_id=27663; Habitat - plankton ; Other notes - Crescent-shaped cells, solitary or clustered. Length to 56um"			x	x						NA	NA
Ankistrodesmus stipatatus	126	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Ankistrodesmus	green algae	irregular non-mucilaginous colony	Ankistrodesmus stipatatus	Species	Native				Species not found				Makarewicz et al 1994; Makarewicz et al 1995; U.S. EPA GLNPO 2018; 			1	x	1					"Algaebase - Ankistrodesmus stipitatus Komárková-Legnerová : http://www.algaebase.org/search/species/detail/?species_id=34604; Habitat - plankton ; Other notes - Crescent-shaped cells, solitary or clustered. Length to 56um"			x	x						NA	NA
Ankyra judayi	127	Chlorophyta	Chlorophyceae	Sphaeropleales	Characiaceae	Ankyra	green algae	spindle unicell	Ankyra judayi	Species	Native				Ankyra judai (Smith) Fott	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=5791			Makarewicz et al 1994; U.S. EPA GLNPO 2018; 	1	1	1							Algaebase - Ankyra judayi (G.M.Smith) Fott: http://www.algaebase.org/search/species/detail/?species_id=27377; Habitat - ; Other notes - 				x			http://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?searchTax=Search+Taxonomy&taxon=Ankyra+judayi			NA	NA
Anomoeoneis costata 	128	Ochrophyta	Bacillariophyceae	Cymbellales	Anoemoeoneidaceae	Anomoeoneis	diatom	naviculoid	Anomoeoneis costata 	Species	Native			Also Originally as Anomoeoneis sphaerophora fo. costata (Kütz.) A.M.Schmid	Anomoeoneis costata (Kütz.) Hust.	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=590935			Stoermer et al 1999; 										Algaebase - Anomoeoneis costata (Kützing) Hustedt: http://www.algaebase.org/search/species/detail/?species_id=33207; Habitat - ; Other notes - 										NA	NA
Anomoeoneis sphaerophora	129	Ochrophyta	Bacillariophyceae	Cymbellales	Anoemoeoneidaceae	Anomoeoneis	diatom	naviculoid	Anomoeoneis sphaerophora	Species	Native			Also originally as Anomoeoneis sphaerophora var. sculpta O.Müll.	Anomoeoneis sphaerophora (Ehrenb.) Pfitzer 	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=591168	Anomoeoneis sphaerophora	http://www.catalogueoflife.org/col/details/species/id/4f4101e9a34756ad0070c1b09b82f401	Stoermer et al 1999; 										Algaebase - Anomoeoneis sphaerophora Pfitzer : http://www.algaebase.org/search/species/detail/?species_id=30957; Habitat - ; Other notes - 							http://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?searchTax=Search+Taxonomy&taxon=Anomoeoneis+sphaerophora			NA	NA
Aphanizomenon flosaquae	130	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Aphanizomenon	blue-green	filamentous	Aphanizomenon flosaquae	Species	Native			Originally as Aphanizomenon flos-aquae	Aphanizomenon flosaquae J. Ralfs Ex Bornet and Flah.	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=1192	Aphanizomenon flosaquae	http://www.catalogueoflife.org/col/details/species/id/1560d9a36b1202c595f865c765b38b9c	Makarewicz et al 1994; Makarewicz et al 1995; Brown and Manny 1983; Reavie et al 2014; U.S. EPA GLNPO 2018; 	1	1	1	1	1					"Algaebase - Aphanizomenon flosaquae Ralfs ex Bornet & Flahault: http://www.algaebase.org/search/species/detail/?species_id=30109; Habitat - ; Other notes - unbranched filaments lie parallel in bundles, usually forming macroscopic floating flakes. Individual filaments taper towards ends. May produce toxins (anatoxins, saxitoxins, cylindrospermopsins, and lipopolysaccharides)."			x	x			http://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?searchTax=Search+Taxonomy&taxon=Aphanizomenon+flosaquae			NA	NA
Aphanocapsa delicatissima	131	Cyanobacteria	Cyanophyceae	Chroococcales	Chroococcaceae	Aphanocapsa	blue-green	mucilaginous colony	Aphanocapsa delicatissima	Species	Native				Aphanocapsa delicatissima W. and G. S. West	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=634	Aphanocapsa delicatissima	http://www.catalogueoflife.org/col/details/species/id/fff725616cf94a8cf2b334bdb9b64601	EPA 1998; Brown and Manny 1983; 		x	x							Algaebase - Aphanocapsa delicatissima West & G.S.West : http://www.algaebase.org/search/species/detail/?species_id=32491; Habitat - a dominant component of the summer phytoplankton assemblage in Lake Michigan; Other notes - Many-celled aggregate of widely spaced cells in a globular mucilage. This genus may produce lipopolysaccharides capable of causing skin irritation and gastrointestinal distress			x	x						NA	NA
Aphanocapsa elachista	132	Cyanobacteria	Cyanophyceae	Chroococcales	Chroococcaceae	Aphanocapsa	blue-green	mucilaginous colony	Aphanocapsa elachista	Species	Native				Aphanocapsa elachista (West) West 	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=627	Aphanocapsa elachista	http://www.catalogueoflife.org/col/details/species/id/4b445098e87668c769444446aa7261b1	Makarewicz et al 1994; Brown and Manny 1983; 		x	x							Algaebase - Aphanocapsa elachista West & G.S.West : http://www.algaebase.org/search/species/detail/?species_id=24631; Habitat - ; Other notes - Many-celled aggregate of widely spaced cells in a globular mucilage. This genus may produce lipopolysaccharides capable of causing skin irritation and gastrointestinal distress										NA	NA
Aphanocapsa grevillei	133	Cyanobacteria	Cyanophyceae	Chroococcales	Chroococcaceae	Aphanocapsa	blue-green	mucilaginous colony	Aphanocapsa grevillei	Species	Native				Aphanocapsa grevillei (Hass.) Rabenhorst 	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=635	Aphanocapsa grevillei	http://www.catalogueoflife.org/col/details/species/id/c2d01c1a69990f6d36ac4eb589629f2e	Prescott 1962; 										Algaebase - Aphanocapsa grevillei (Berkeley) Rabenhorst: http://www.algaebase.org/search/species/detail/?species_id=32493; Habitat - ; Other notes - Many-celled aggregate of widely spaced cells in a globular mucilage. This genus may produce lipopolysaccharides capable of causing skin irritation and gastrointestinal distress										NA	NA
Aphanocapsa pulchra	134	Cyanobacteria	Cyanophyceae	Chroococcales	Chroococcaceae	Aphanocapsa	blue-green	mucilaginous colony	Aphanocapsa pulchra	Species	Native			Microcystis smithii 	Aphanocapsa pulchra (Kutz.) Rabenh.	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=630	Aphanocapsa pulchra	http://www.catalogueoflife.org/col/details/species/id/f51dcdfc5b90c0a90fcfc3f551ad5924	Prescott 1962; 										Algaebase - Microcystis smithii Komárek & Anagnostidis: http://www.algaebase.org/search/species/detail/?species_id=53786; Habitat - ; Other notes - Many-celled aggregate of widely spaced cells in a globular mucilage. This genus may produce lipopolysaccharides capable of causing skin irritation and gastrointestinal distress										NA	NA
Aphanocapsa rivularis	135	Cyanobacteria	Cyanophyceae	Chroococcales	Chroococcaceae	Aphanocapsa	blue-green	mucilaginous colony	Aphanocapsa rivularis	Species	Native				Aphanocapsa rivularis (Carm.) Rabenhorst	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=632	Aphanocapsa rivularis	http://www.catalogueoflife.org/col/details/species/id/e60ce6ce7acfbedcff95abf58dc148ac	Prescott 1962; 										Algaebase - Aphanocapsa rivularis (Carmichael) Rabenhorst : http://www.algaebase.org/search/species/detail/?species_id=53489; Habitat - ; Other notes - Many-celled aggregate of widely spaced cells in a globular mucilage. This genus may produce lipopolysaccharides capable of causing skin irritation and gastrointestinal distress										NA	NA
Aphanocapsa sp. 	136	Cyanobacteria	Cyanophyceae	Chroococcales	Chroococcaceae	Aphanocapsa	blue-green	mucilaginous colony	Aphanocapsa sp. 	Genus	Native								Reavie et al 2014; U.S. EPA GLNPO 2018; 	genus	genus	genus	genus	genus					Algaebase - : ; Habitat - ; Other notes - Many-celled aggregate of widely spaced cells in a globular mucilage. This genus may produce lipopolysaccharides capable of causing skin irritation and gastrointestinal distress										NA	NA
Aphanochaete polychaete	137	Chlorophyta	Chlorophyceae	Chaetophorales	Aphanochaetoceae	Aphanochaete	green algae	attached filaments	Aphanochaete polychaete	Species	Native				Aphanochaete polychaete (Hansg.) Fritsch	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=6704			Prescott 1962; 										Algaebase - Aphanochaete polychaete (Hansgirg) F.E.Fritsch: http://www.algaebase.org/search/species/detail/?species_id=34784; Habitat - epiphytic ; Other notes - rare. 8-15um diameter. Usually found on other filamentous algae.		x								NA	NA
Aphanochaete repens	138	Chlorophyta	Chlorophyceae	Chaetophorales	Aphanochaetoceae	Aphanochaete	green algae	attached filaments	Aphanochaete repens	Species	Native				"Aphanochaete repens A. Braun, 1851"	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=6702			Prescott 1962; 										Algaebase - Aphanochaete repens A.Braun : http://www.algaebase.org/search/species/detail/?species_id=1206; Habitat - epiphytic ; Other notes - common. 8-15um diameter. Usually found on other filamentous algae.		x								NA	NA
Aphanochaete vermiculoides	139	Chlorophyta	Chlorophyceae	Chaetophorales	Aphanochaetoceae	Aphanochaete	green algae	attached filaments	Aphanochaete vermiculoides	Species	Native				Aphanochaete vermiculoides Wolle	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=6705			Prescott 1962; 										Algaebase - Aphanochaete vermiculoides Wolle: http://www.algaebase.org/search/species/detail/?species_id=61983; Habitat - epiphytic ; Other notes - rare. 8-15um diameter. Usually found on other filamentous algae.		x								NA	NA
Aphanothece castagnei	140	Cyanobacteria	Cyanophyceae	Chroococcales	Chroococcaceae	Aphanothece 	blue-green	mucilaginous colony	Aphanothece castagnei	Species	Native			Aphanothece catagnei;  Anacystis marginata	Aphanothece catagnei 	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=638			Prescott 1962; Brown and Manny 1983; Reavie et al 2014; U.S. EPA GLNPO 2018; 	genus	genus			genus					"Algaebase - Aphanothece castagnei (Kützing) Rabenhorst: http://www.algaebase.org/search/species/detail/?species_id=24611; Habitat - ; Other notes - Many-celled aggregate of crowded and irregularly-spaced cells in a globular mucilage, this genus may produce lipopolysaccharides capable of causing skin irritation and gastrointestinal distress"										NA	NA
