TaxaName	RecNum	Phylum	Class	Order	Family	Genus	GroupCoarse	GroupFine	Species	ID level	Origin	IntroSource	CommonName	AlternateNames	ITIS_Accepted_Name	ITIS_URL	COL_Accepted_Name	COL_URL	Ref_GL_occurrence	Erie	Huron	Michigan	Ontario	Superior	St. Mary's River	Huron Erie Corridor	Niagara River	Ref_location	Notes	Benthic	Littoral	Limnetic	Lakes_Proper	Tribs/Wetlands	Aerial/ Terrestrial	BOLD_link	Other_Genetic_Info	NatHistory_source	NatHistory_link	nasID
Discostella woltereckii	686	Ochrophyta	Bacillariophyceae	Thalassiosirales	Stephanodiscaceae	Discostella	diatom	eucentric	Discostella woltereckii	Species	Introduced	Unknown		Cyclotella wolterecki 	Cyclotella woltereckii Hust.	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=591139			Stoermer et al 1999; Makarewicz et al 1994; Makarewicz et al 1995; GLANSIS; 			x	x						Algaebase - Discostella woltereckii (Hustedt) Houk & Klee: http://www.algaebase.org/search/species/detail/?species_id=131400; Habitat - ; Other notes - 										NA	NA
Enteromorpha flexuosa	2408	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Enteromorpha	green algae	attached filaments	Enteromorpha flexuosa	Species	Introduced	Unknown		"Ulva flexuosa, U. flexuosa subsp. flexuosa and subsp. paradoxa"	Enteromorpha flexuosa (Wulfen) J. Agardh	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=6544			GLANSIS; 			x							Algaebase - Ulva paradoxa C. Agardh: http://www.algaebase.org/search/species/detail/?species_id=13566	x									NA	NA
Enteromorpha intestinalis	722	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Enteromorpha	green algae	attached filaments	Enteromorpha intestinalis	Species	Introduced	Atlantic coast			Enteromorpha intestinalis (Linnaeus) Link	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=6535			GLANSIS; 	x			x			x			"Algaebase - Ulva intestinalis Linnaeus: http://www.algaebase.org/search/species/detail/?species_id=12904; Habitat - attached, saline or hard water; Other notes - "	x									NA	NA
Enteromorpha prolifera	723	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Enteromorpha	green algae	attached filaments	Enteromorpha prolifera	Species	Introduced	Unknown		Ulva prolifera	Enteromorpha prolifera (O. F. Mueller) J. Agardh	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=6541			GLANSIS; 							x			"Algaebase - Ulva prolifera O.F.Müller: http://www.algaebase.org/search/species/detail/?species_id=13000; Habitat - attached, saline or hard water; Other notes - "	x									NA	NA
Hymenomonas roseola	988	Haptophyta	Prymnesiophyceae	Prymnesiales	Syracosphaeraceae	Hymenomonas	coccolithophorid	flagellate	Hymenomonas roseola	Species	Introduced	Eurasia			Hymenomonas roseola 	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=2212			GLANSIS; 		x								"Algaebase - Hymenomonas roseola F.Stein : http://www.algaebase.org/search/species/detail/?species_id=32779; Habitat - ; Other notes - sessile (rarely with 2 flagella), haptonema internal or short and bulbous. with crown shaped coccoliths or scales."	x									NA	NA
Nitellopsis obtusa	1337	Charophyta	Charophyceae	Charales	Feisiellaceae	Nitellopsis	stonewort	attached filaments	Nitellopsis obtusa	Species	Introduced	Eurasia			Genus not found				GLANSIS; 										Algaebase - Nitellopsis obtusa (N.A.Desvaux) J.Groves : http://www.algaebase.org/search/species/detail/?species_id=35601; Habitat - ; Other notes - invasive							http://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?searchTax=Search+Taxonomy&taxon=Nitellopsis+obtusa			NA	NA
Pleurosira laevis 	1851	Ochrophyta	Bacillariophyceae	Eupodiscales	Eupodiscaceae	Pleurosira	diatom	eccentric	Pleurosira laevis 	Species	Introduced	Unknown			Genus not found				Stoermer et al 1999; GLANSIS; 			x							Algaebase - Pleurosira laevis (Ehrenberg) Compère: http://www.algaebase.org/search/species/detail/?species_id=33029; Habitat - ; Other notes - 										NA	NA
Skeletonema potamos 	1995	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema	diatom	"eucentric, filamentous"	Skeletonema potamos 	Species	Introduced	Unknown			Skeletonema potamos (Weber) Hasle in Hasle & Evensen	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=2414	Skeletonema potamos	http://www.catalogueoflife.org/col/details/species/id/74796ab8070ad24486001927f7f146b9	Stoermer et al 1999; Makarewicz et al 1994; GLANSIS; Brown and Manny 1983; 	x	x	x	x	x					Algaebase - Skeletonema potamos (C.I.Weber) Hasle: http://www.algaebase.org/search/species/detail/?species_id=32102; Habitat - ; Other notes - 							http://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?searchTax=Search+Taxonomy&taxon=Skeletonema+potamos+			NA	NA
Skeletonema subsalsum 	1996	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema	diatom	"eucentric, filamentous"	Skeletonema subsalsum 	Species	Introduced	Baltic Sea			Skeletonema subsalsum (A. Cleve) Bethge 	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=2403	Skeletonema subsalsum	http://www.catalogueoflife.org/col/details/species/id/ccf6e5492bb5a5f15eb9f4396ba3f966	Stoermer et al 1999; Makarewicz et al 1994; GLANSIS; Brown and Manny 1983; 	x	x	x	x						Algaebase - Skeletonema subsalsum (Cleve-Euler) Bethge: http://www.algaebase.org/search/species/detail/?species_id=33032; Habitat - ; Other notes - 							http://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?searchTax=Search+Taxonomy&taxon=Skeletonema+subsalsum+			NA	NA
Sphacelaria fluviatilis 	1999	Phaeophyta	Phaeophyceae	Sphacelariales	Sphacelariaceae	Sphacelaria	brown algae	attached filaments	Sphacelaria fluviatilis 	Species	Introduced	China			species not found				GLANSIS; 			x							Algaebase - Sphacelaria fluviatilis C.-C.Jao : http://www.algaebase.org/search/species/detail/?species_id=67418; Habitat - ; Other notes - 										NA	NA
